AGE;Ensemble;De 18 ˆ 20 ans;De 21 ˆ 25 ans;De 26 ˆ 30 ans;De 31 ˆ 40 ans;De 41 ˆ 50 ans;De 51 ˆ 60 ans;De 61 ˆ 65 ans;Plus de 65 ans
1962;Ensemble;1Ê321;713;977;1Ê215;1Ê453;1Ê492;1Ê492;1Ê492;1Ê545
;Homme;1Ê460;745;1Ê081;1Ê300;1Ê548;1Ê636;1Ê650;1Ê679;1Ê825
;Femme;941;687;847;969;1Ê072;1Ê053;1Ê035;988;931
1963;Ensemble;1Ê452;828;1Ê133;1Ê394;1Ê641;1Ê699;1Ê670;1Ê801;1Ê801
;Homme;1Ê604;882;1Ê219;1Ê476;1Ê764;1Ê861;1Ê845;2Ê021;2Ê085
;Femme;1Ê037;798;975;1Ê099;1Ê203;1Ê182;1Ê151;1Ê141;1Ê120
1964;Ensemble;1Ê545;881;1Ê205;1Ê499;1Ê762;1Ê839;1Ê777;1Ê777;1Ê947
;Homme;1Ê714;925;1Ê285;1Ê594;1Ê902;2Ê022;1Ê971;1Ê971;2Ê262
;Femme;1Ê099;824;1Ê033;1Ê187;1Ê286;1Ê264;1Ê209;1Ê209;1Ê198
1965;Ensemble;1Ê638;917;1Ê277;1Ê605;1Ê851;1Ê982;1Ê900;1Ê916;2Ê113
;Homme;1Ê820;965;1Ê383;1Ê711;1Ê984;2Ê166;2Ê112;2Ê130;2Ê476
;Femme;1Ê168;864;1Ê098;1Ê285;1Ê366;1Ê366;1Ê308;1Ê296;1Ê285
1966;Ensemble;1Ê741;975;1Ê358;1Ê706;1Ê985;2Ê107;2Ê002;2Ê037;2Ê264
;Homme;1Ê935;1Ê006;1Ê471;1Ê819;2Ê128;2Ê322;2Ê225;2Ê283;2Ê670
;Femme;1Ê240;930;1Ê178;1Ê364;1Ê463;1Ê438;1Ê376;1Ê376;1Ê364
1967;Ensemble;1Ê834;990;1Ê430;1Ê816;2Ê072;2Ê256;2Ê127;2Ê146;2Ê513
;Homme;2Ê036;1Ê038;1Ê548;1Ê914;2Ê220;2Ê464;2Ê362;2Ê423;2Ê953
;Femme;1Ê316;947;1Ê224;1Ê474;1Ê552;1Ê552;1Ê460;1Ê460;1Ê539
1968;Ensemble;2Ê019;1Ê111;1Ê535;1Ê979;2Ê282;2Ê484;2Ê342;2Ê342;2Ê746
;Homme;2Ê231;1Ê138;1Ê651;2Ê097;2Ê431;2Ê721;2Ê588;2Ê632;3Ê212
;Femme;1Ê479;1Ê050;1Ê331;1Ê627;1Ê731;1Ê731;1Ê642;1Ê612;1Ê731
1969;Ensemble;2Ê236;1Ê252;1Ê700;2Ê192;2Ê527;2Ê728;2Ê572;2Ê572;3Ê131
;Homme;2Ê473;1Ê311;1Ê830;2Ê325;2Ê696;3Ê017;2Ê869;2Ê894;3Ê710
;Femme;1Ê648;1Ê187;1Ê483;1Ê797;1Ê896;1Ê912;1Ê830;1Ê780;1Ê961
1970;Ensemble;2Ê446;1Ê370;1Ê859;2Ê397;2Ê764;2Ê984;2Ê838;2Ê789;3Ê400
;Homme;2Ê711;1Ê437;2Ê006;2Ê575;2Ê982;3Ê280;3Ê145;3Ê117;4Ê012
;Femme;1Ê807;1Ê301;1Ê627;1Ê970;2Ê078;2Ê078;1Ê988;1Ê970;2Ê205
1971;Ensemble;2Ê712;1Ê519;2Ê061;2Ê658;3Ê064;3Ê281;3Ê146;3Ê091;3Ê607
;Homme;3Ê020;1Ê601;2Ê235;2Ê839;3Ê292;3Ê624;3Ê533;3Ê503;4Ê288
;Femme;2Ê002;1Ê442;1Ê802;2Ê162;2Ê302;2Ê322;2Ê222;2Ê142;2Ê282
1972;Ensemble;2Ê985;1Ê642;2Ê239;2Ê895;3Ê403;3Ê612;3Ê552;3Ê403;4Ê030
;Homme;3Ê330;1Ê698;2Ê397;3Ê097;3Ê663;3Ê996;3Ê962;3Ê829;4Ê828
;Femme;2Ê218;1Ê575;1Ê974;2Ê373;2Ê551;2Ê551;2Ê462;2Ê351;2Ê551
1973;Ensemble;3Ê346;1Ê907;2Ê510;3Ê213;3Ê815;4Ê049;3Ê949;3Ê848;4Ê384
;Homme;3Ê746;1Ê985;2Ê734;3Ê484;4Ê120;4Ê495;4Ê420;4Ê383;5Ê244
;Femme;2Ê487;1Ê816;2Ê213;2Ê636;2Ê835;2Ê835;2Ê810;2Ê686;2Ê761
1974;Ensemble;3Ê924;2Ê198;2Ê904;3Ê728;4Ê474;4Ê709;4Ê670;4Ê474;5Ê141
;Homme;4Ê388;2Ê238;3Ê159;4Ê037;4Ê870;5Ê265;5Ê265;5Ê134;6Ê318
;Femme;2Ê946;2Ê121;2Ê592;3Ê093;3Ê358;3Ê329;3Ê299;3Ê122;3Ê093
1975;Ensemble;4Ê495;2Ê517;3Ê326;4Ê225;5Ê124;5Ê393;5Ê393;5Ê259;5Ê573
;Homme;5Ê009;2Ê605;3Ê557;4Ê559;5Ê561;5Ê961;6Ê011;6Ê061;6Ê713
;Femme;3Ê424;2Ê466;2Ê979;3Ê561;3Ê904;3Ê870;3Ê801;3Ê596;3Ê596
1976;Ensemble;5Ê205;2Ê818;3Ê838;4Ê836;5Ê873;6Ê179;6Ê230;6Ê062;6Ê818
;Homme;5Ê799;2Ê836;4Ê116;5Ê210;6Ê403;6Ê854;7Ê025;6Ê998;8Ê276
;Femme;4Ê009;2Ê797;3Ê462;4Ê126;4Ê513;4Ê484;4Ê404;4Ê220;4Ê362
1977;Ensemble;5Ê741;3Ê204;4Ê193;5Ê288;6Ê495;6Ê838;6Ê930;6Ê839;7Ê714
;Homme;6Ê380;3Ê268;4Ê478;5Ê706;7Ê080;7Ê565;7Ê765;7Ê900;9Ê309
;Femme;4Ê465;3Ê121;3Ê822;4Ê523;5Ê066;5Ê034;4Ê994;4Ê873;4Ê465
1978;Ensemble;6Ê501;3Ê457;4Ê714;5Ê860;7Ê221;7Ê677;7Ê822;7Ê886;9Ê118
;Homme;7Ê223;3Ê432;5Ê008;6Ê308;7Ê852;8Ê478;8Ê746;9Ê033;10Ê989
;Femme;5Ê102;3Ê483;4Ê331;5Ê072;5Ê745;5Ê717;5Ê701;5Ê695;5Ê885
1979;Ensemble;7Ê060;3Ê900;5Ê068;6Ê312;7Ê858;8Ê363;8Ê584;9Ê076;9Ê780
;Homme;7Ê804;3Ê951;5Ê332;6Ê772;8Ê537;9Ê211;9Ê561;10Ê488;11Ê929
;Femme;5Ê616;3Ê834;4Ê727;5Ê525;6Ê329;6Ê305;6Ê335;6Ê472;6Ê111
1980;Ensemble;8Ê038;4Ê174;5Ê737;7Ê099;8Ê858;9Ê485;9Ê746;10Ê255;11Ê313
;Homme;8Ê881;4Ê111;6Ê033;7Ê603;9Ê634;10Ê444;10Ê857;11Ê846;13Ê444
;Femme;6Ê418;4Ê249;5Ê352;6Ê253;7Ê176;7Ê194;7Ê218;7Ê213;7Ê425
1981;Ensemble;9Ê096;4Ê737;6Ê447;7Ê951;9Ê916;10Ê789;11Ê097;11Ê983;12Ê759
;Homme;10Ê041;4Ê643;6Ê761;8Ê501;10Ê796;11Ê890;12Ê358;13Ê899;15Ê366
;Femme;7Ê298;4Ê854;6Ê034;7Ê040;8Ê078;8Ê189;8Ê249;8Ê376;8Ê336
1982;Ensemble;10Ê347;5Ê404;7Ê279;8Ê947;11Ê154;12Ê340;12Ê703;14Ê094;14Ê464
;Homme;11Ê411;5Ê271;7Ê612;9Ê551;12Ê156;13Ê610;14Ê142;16Ê418;17Ê661
;Femme;8Ê343;5Ê575;6Ê839;7Ê964;9Ê137;9Ê372;9Ê481;9Ê788;9Ê405
1983;Ensemble;11Ê440;5Ê977;8Ê026;9Ê790;12Ê205;13Ê722;14Ê020;15Ê912;16Ê724
;Homme;12Ê587;5Ê885;8Ê351;10Ê412;13Ê280;15Ê104;15Ê570;18Ê707;20Ê349
;Femme;9Ê287;6Ê099;7Ê594;8Ê781;10Ê089;10Ê518;10Ê498;10Ê872;11Ê321
1984;Ensemble;12Ê255;6Ê405;8Ê582;10Ê413;12Ê984;14Ê759;15Ê002;17Ê292;18Ê476
;Homme;13Ê464;6Ê347;8Ê899;11Ê046;14Ê111;16Ê222;16Ê631;20Ê460;22Ê425
;Femme;9Ê996;6Ê487;8Ê160;9Ê390;10Ê798;11Ê384;11Ê259;11Ê684;12Ê857
1985;Ensemble;13Ê127;6Ê864;9Ê057;11Ê068;13Ê784;15Ê944;15Ê930;19Ê900;19Ê929
;Homme;14Ê430;6Ê836;9Ê412;11Ê747;14Ê993;17Ê553;17Ê660;23Ê918;23Ê518
;Femme;10Ê718;6Ê906;8Ê600;9Ê977;11Ê494;12Ê314;12Ê043;13Ê076;14Ê666
1986;Ensemble;13Ê829;6Ê780;9Ê360;11Ê581;14Ê372;16Ê865;16Ê885;20Ê992;23Ê438
;Homme;15Ê212;6Ê789;9Ê671;12Ê301;15Ê640;18Ê629;18Ê738;25Ê893;28Ê792
;Femme;11Ê302;6Ê765;8Ê944;10Ê438;12Ê024;13Ê021;12Ê797;13Ê101;15Ê289
1987;Ensemble;14Ê208;6Ê956;9Ê555;11Ê880;14Ê653;17Ê425;17Ê330;23Ê256;24Ê185
;Homme;15Ê639;6Ê968;9Ê901;12Ê620;15Ê966;19Ê264;19Ê228;29Ê488;29Ê356
;Femme;11Ê590;6Ê936;9Ê096;10Ê699;12Ê245;13Ê473;13Ê089;14Ê272;16Ê617
1988;Ensemble;14Ê622;6Ê660;9Ê800;12Ê222;15Ê007;17Ê949;17Ê939;22Ê535;24Ê864
;Homme;16Ê093;6Ê659;10Ê111;12Ê960;16Ê346;19Ê912;19Ê957;27Ê764;29Ê340
;Femme;11Ê991;6Ê661;9Ê378;11Ê062;12Ê628;13Ê944;13Ê515;14Ê487;17Ê756
1989;Ensemble;15Ê270;7Ê267;10Ê227;12Ê817;15Ê575;18Ê712;18Ê676;24Ê661;24Ê274
;Homme;16Ê776;7Ê336;10Ê573;13Ê582;16Ê928;20Ê716;20Ê630;30Ê859;28Ê756
;Femme;12Ê561;7Ê150;9Ê757;11Ê602;13Ê163;14Ê611;14Ê231;15Ê276;17Ê639
1990;Ensemble;16Ê065;7Ê551;10Ê738;13Ê521;16Ê290;19Ê490;19Ê672;25Ê382;25Ê541
;Homme;17Ê643;7Ê646;11Ê110;14Ê316;17Ê679;21Ê589;21Ê700;30Ê980;30Ê323
;Femme;13Ê258;7Ê398;10Ê238;12Ê268;13Ê832;15Ê331;15Ê034;16Ê183;18Ê212
1991;Ensemble;16Ê638;7Ê733;11Ê102;14Ê038;16Ê780;20Ê000;20Ê398;25Ê769;26Ê459
;Homme;18Ê266;7Ê851;11Ê495;14Ê852;18Ê185;22Ê167;22Ê472;30Ê741;31Ê477
;Femme;13Ê772;7Ê546;10Ê577;12Ê764;14Ê308;15Ê840;15Ê630;16Ê867;18Ê539
1992;Ensemble;17Ê072;7Ê412;11Ê274;14Ê356;17Ê160;20Ê258;21Ê085;25Ê193;28Ê953
;Homme;18Ê708;7Ê478;11Ê631;15Ê142;18Ê567;22Ê404;23Ê224;30Ê171;35Ê086
;Femme;14Ê225;7Ê301;10Ê803;13Ê137;14Ê717;16Ê245;16Ê192;16Ê801;20Ê113
1993;Ensemble;17Ê507;8Ê027;11Ê548;14Ê647;17Ê442;20Ê419;21Ê549;27Ê100;23Ê750
;Homme;18Ê999;8Ê124;11Ê782;15Ê297;18Ê657;22Ê367;23Ê522;32Ê282;28Ê340
;Femme;14Ê894;7Ê869;11Ê243;13Ê630;15Ê293;16Ê798;17Ê047;18Ê531;16Ê397
1994;Ensemble;17Ê577;7Ê865;11Ê195;14Ê590;17Ê576;20Ê505;21Ê946;26Ê780;22Ê578
;Homme;19Ê054;8Ê121;11Ê463;15Ê246;18Ê796;22Ê423;23Ê972;32Ê114;26Ê365
;Femme;14Ê703;7Ê336;10Ê799;13Ê461;15Ê135;16Ê588;16Ê972;18Ê013;16Ê339
1995;Ensemble;18Ê296;8Ê218;11Ê723;15Ê051;18Ê123;20Ê983;23Ê010;28Ê987;28Ê126
;Homme;19Ê580;8Ê397;11Ê893;15Ê523;19Ê187;22Ê807;25Ê058;34Ê399;29Ê764
;Femme;15Ê606;7Ê813;11Ê458;14Ê198;15Ê961;17Ê347;18Ê164;19Ê978;20Ê056
1996;Ensemble;18Ê573;8Ê087;11Ê808;15Ê116;18Ê372;21Ê183;23Ê634;30Ê672;23Ê828
;Homme;19Ê896;8Ê204;12Ê025;15Ê635;19Ê463;23Ê038;25Ê826;37Ê543;24Ê745
